Year,Month,Provider Parent Org Code,Provider Parent Name,Treatment Function Name,Total waiting > 52 weeks,Total waiting > 18 weeks
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Plastic Surgery,0,300
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Rheumatology,0,376
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Thoracic Medicine,0,559
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Total,47,28188
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Trauma & Orthopaedics,9,6191
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Urology,4,882
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Cardiology,1,628
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Cardiothoracic Surgery,0,1
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Dermatology,0,1435
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,"Ear, Nose & Throat (ENT)",8,1478
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Gastroenterology,4,683
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,General Medicine,0,36
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,General Surgery,7,1806
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Geriatric Medicine,1,28
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Gynaecology,2,2003
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Neurology,1,387
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Neurosurgery,0,10
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Ophthalmology,0,3204
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Oral Surgery,2,1769
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Other,14,2477
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Plastic Surgery,0,144
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Rheumatology,0,364
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Thoracic Medicine,1,659
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Total,64,23188
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Trauma & Orthopaedics,15,3901
2020,Apr,QGH,HEREFORDSHIRE AND WORCESTERSHIRE STP,Urology,8,2175
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Cardiology,19,2040
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Cardiothoracic Surgery,1,141
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Dermatology,35,3717
2020,Apr,QH8,MID AND SOUTH ESSEX STP,"Ear, Nose & Throat (ENT)",233,4081
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Gastroenterology,20,1926
2020,Apr,QH8,MID AND SOUTH ESSEX STP,General Medicine,2,262
2020,Apr,QH8,MID AND SOUTH ESSEX STP,General Surgery,175,3558
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Geriatric Medicine,1,72
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Gynaecology,43,2741
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Neurology,31,1241
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Neurosurgery,1,11
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Ophthalmology,199,7062
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Oral Surgery,207,2372
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Other,195,7424
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Plastic Surgery,351,4401
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Rheumatology,7,968
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Thoracic Medicine,9,1228
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Total,2201,55609
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Trauma & Orthopaedics,398,9537
2020,Apr,QH8,MID AND SOUTH ESSEX STP,Urology,274,2827
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Cardiology,4,1120
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Cardiothoracic Surgery,0,0
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Dermatology,2,752
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP","Ear, Nose & Throat (ENT)",2,1758
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Gastroenterology,71,788
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",General Medicine,0,502
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",General Surgery,200,1519
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Geriatric Medicine,0,6
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Gynaecology,0,1778
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Neurology,0,642
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Ophthalmology,2,2760
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Oral Surgery,29,2317
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Other,17,2345
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Plastic Surgery,4,149
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Rheumatology,2,206
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Thoracic Medicine,2,379
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Total,406,22931
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Trauma & Orthopaedics,63,3933
2020,Apr,QHG,"BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",Urology,8,1977
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Cardiology,3,1133
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Cardiothoracic Surgery,0,41
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Dermatology,1,2063
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,"Ear, Nose & Throat (ENT)",73,4162
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Gastroenterology,4,2439
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,General Medicine,0,58
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,General Surgery,8,2998
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Geriatric Medicine,0,74
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Gynaecology,17,2804
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Neurology,7,1685
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Neurosurgery,26,1701
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Ophthalmology,2,3768
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Oral Surgery,0,1626
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Other,23,10122
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Plastic Surgery,5,561
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Rheumatology,1,213
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Thoracic Medicine,0,899
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Total,248,45131
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Trauma & Orthopaedics,4,5292
2020,Apr,QHL,BIRMINGHAM AND SOLIHULL STP,Urology,74,3492
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Cardiology,11,2330
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Cardiothoracic Surgery,1,55
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Dermatology,6,2518
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,"Ear, Nose & Throat (ENT)",47,5135
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Gastroenterology,18,1876
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,General Medicine,5,556
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,General Surgery,36,5761
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Geriatric Medicine,0,269
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Gynaecology,38,3837
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Neurology,3,1481
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Neurosurgery,0,325
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Ophthalmology,72,15003
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Oral Surgery,4,3321
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Other,78,11203
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Plastic Surgery,42,2475
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Rheumatology,1,865
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Thoracic Medicine,0,1005
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Total,990,83465
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Trauma & Orthopaedics,605,20945
2020,Apr,QHM,CUMBRIA AND NORTH EAST STP,Urology,23,4505
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Cardiology,4,638
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Cardiothoracic Surgery,0,0
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Dermatology,5,1508
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,"Ear, Nose & Throat (ENT)",11,1503
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Gastroenterology,4,644
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,General Medicine,1,110
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,General Surgery,35,2251
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Geriatric Medicine,0,42
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Gynaecology,1,1406
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Neurology,3,175
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Neurosurgery,0,23
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Ophthalmology,7,4939
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Oral Surgery,0,584
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Other,99,4249
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Plastic Surgery,6,214
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Rheumatology,3,551
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Thoracic Medicine,1,238
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Total,338,28991
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Trauma & Orthopaedics,143,8763
2020,Apr,QJ2,JOINED UP CARE DERBYSHIRE STP,Urology,15,1153
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Cardiology,1,270
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Dermatology,3,2598
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,"Ear, Nose & Throat (ENT)",16,1737
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Gastroenterology,4,1548
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,General Medicine,4,160
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,General Surgery,196,5068
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Geriatric Medicine,0,11
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Gynaecology,35,3164
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Neurology,2,1577
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Ophthalmology,27,3977
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Oral Surgery,7,1101
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Other,16,1318
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Plastic Surgery,4,380
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Rheumatology,1,661
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Thoracic Medicine,3,367
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Total,568,34241
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Trauma & Orthopaedics,165,7556
2020,Apr,QJG,SUFFOLK AND NORTH EAST ESSEX STP,Urology,84,2748
2020,Apr,QJK,DEVON STP,Cardiology,96,3447
2020,Apr,QJK,DEVON STP,Cardiothoracic Surgery,8,432
2020,Apr,QJK,DEVON STP,Dermatology,2,1778
2020,Apr,QJK,DEVON STP,"Ear, Nose & Throat (ENT)",48,2328
2020,Apr,QJK,DEVON STP,Gastroenterology,11,1297
2020,Apr,QJK,DEVON STP,General Medicine,0,107
2020,Apr,QJK,DEVON STP,General Surgery,90,2139
2020,Apr,QJK,DEVON STP,Geriatric Medicine,0,46
2020,Apr,QJK,DEVON STP,Gynaecology,20,2217
2020,Apr,QJK,DEVON STP,Neurology,6,859
2020,Apr,QJK,DEVON STP,Neurosurgery,119,839
2020,Apr,QJK,DEVON STP,Ophthalmology,60,8077
2020,Apr,QJK,DEVON STP,Oral Surgery,4,934
2020,Apr,QJK,DEVON STP,Other,197,7082
2020,Apr,QJK,DEVON STP,Plastic Surgery,40,1140
2020,Apr,QJK,DEVON STP,Rheumatology,0,234
2020,Apr,QJK,DEVON STP,Thoracic Medicine,1,631
2020,Apr,QJK,DEVON STP,Total,1083,47604
2020,Apr,QJK,DEVON STP,Trauma & Orthopaedics,318,11290
2020,Apr,QJK,DEVON STP,Urology,63,2727
2020,Apr,QJM,LINCOLNSHIRE STP,Cardiology,0,486
2020,Apr,QJM,LINCOLNSHIRE STP,Cardiothoracic Surgery,0,0
2020,Apr,QJM,LINCOLNSHIRE STP,Dermatology,0,391
2020,Apr,QJM,LINCOLNSHIRE STP,"Ear, Nose & Throat (ENT)",0,1499
2020,Apr,QJM,LINCOLNSHIRE STP,Gastroenterology,2,1389
2020,Apr,QJM,LINCOLNSHIRE STP,General Medicine,0,85
2020,Apr,QJM,LINCOLNSHIRE STP,General Surgery,0,1668
2020,Apr,QJM,LINCOLNSHIRE STP,Geriatric Medicine,0,66
2020,Apr,QJM,LINCOLNSHIRE STP,Gynaecology,0,624
2020,Apr,QJM,LINCOLNSHIRE STP,Neurology,0,402
2020,Apr,QJM,LINCOLNSHIRE STP,Ophthalmology,0,1842
2020,Apr,QJM,LINCOLNSHIRE STP,Other,2,3633
2020,Apr,QJM,LINCOLNSHIRE STP,Rheumatology,0,360
2020,Apr,QJM,LINCOLNSHIRE STP,Thoracic Medicine,0,287
2020,Apr,QJM,LINCOLNSHIRE STP,Total,5,14328
2020,Apr,QJM,LINCOLNSHIRE STP,Trauma & Orthopaedics,1,1044
2020,Apr,QJM,LINCOLNSHIRE STP,Urology,0,552
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Cardiology,1,1255
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Cardiothoracic Surgery,1,144
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Dermatology,0,480
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP","Ear, Nose & Throat (ENT)",127,2706
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Gastroenterology,0,1329
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",General Medicine,0,10
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",General Surgery,69,3152
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Geriatric Medicine,0,30
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Gynaecology,0,2065
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Neurology,0,938
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Neurosurgery,0,59
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Ophthalmology,24,3349
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Other,152,8342
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Plastic Surgery,0,668
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Rheumatology,0,97
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Thoracic Medicine,0,154
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Total,562,32456
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Trauma & Orthopaedics,73,5362
2020,Apr,QK1,"LEICESTER, LEICESTERSHIRE AND RUTLAND STP",Urology,115,2316
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Cardiology,25,3249
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Cardiothoracic Surgery,0,63
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Dermatology,19,3419
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,"Ear, Nose & Throat (ENT)",134,7899
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Gastroenterology,17,2109
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,General Medicine,1,189
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,General Surgery,358,6890
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Geriatric Medicine,0,143
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Gynaecology,140,6243
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Neurology,3,1381
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Neurosurgery,15,873
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Ophthalmology,163,6938
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Oral Surgery,20,5680
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Other,400,18432
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Plastic Surgery,63,973
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Rheumatology,1,593
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Thoracic Medicine,2,711
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Total,1738,76635
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Trauma & Orthopaedics,357,8350
2020,Apr,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,Urology,20,2500
2020,Apr,QKS,KENT AND MEDWAY STP,Cardiology,0,1290
2020,Apr,QKS,KENT AND MEDWAY STP,Cardiothoracic Surgery,0,2
2020,Apr,QKS,KENT AND MEDWAY STP,Dermatology,8,1372
2020,Apr,QKS,KENT AND MEDWAY STP,"Ear, Nose & Throat (ENT)",164,7035
2020,Apr,QKS,KENT AND MEDWAY STP,Gastroenterology,2,2775
2020,Apr,QKS,KENT AND MEDWAY STP,General Medicine,0,66
2020,Apr,QKS,KENT AND MEDWAY STP,General Surgery,60,5874
2020,Apr,QKS,KENT AND MEDWAY STP,Geriatric Medicine,1,75
2020,Apr,QKS,KENT AND MEDWAY STP,Gynaecology,48,4793
2020,Apr,QKS,KENT AND MEDWAY STP,Neurology,2,1269
2020,Apr,QKS,KENT AND MEDWAY STP,Ophthalmology,25,3714
2020,Apr,QKS,KENT AND MEDWAY STP,Oral Surgery,2,552
2020,Apr,QKS,KENT AND MEDWAY STP,Other,12,5629
2020,Apr,QKS,KENT AND MEDWAY STP,Plastic Surgery,0,0
2020,Apr,QKS,KENT AND MEDWAY STP,Rheumatology,0,1104
2020,Apr,QKS,KENT AND MEDWAY STP,Thoracic Medicine,0,392
2020,Apr,QKS,KENT AND MEDWAY STP,Total,432,49986
2020,Apr,QKS,KENT AND MEDWAY STP,Trauma & Orthopaedics,83,10884
2020,Apr,QKS,KENT AND MEDWAY STP,Urology,25,3160
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Cardiology,3,2156
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Cardiothoracic Surgery,0,7
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Dermatology,1,636
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,"Ear, Nose & Throat (ENT)",22,2655
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Gastroenterology,1,2551
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,General Medicine,0,145
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,General Surgery,6,2402
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Geriatric Medicine,0,44
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Gynaecology,11,1392
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Neurology,0,582
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Neurosurgery,0,1
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Ophthalmology,11,3006
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Oral Surgery,70,2554
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Other,64,6065
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Plastic Surgery,2,347
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Rheumatology,2,868
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Thoracic Medicine,0,514
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Total,290,32389
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Trauma & Orthopaedics,76,4967
2020,Apr,QM7,HERTFORDSHIRE AND WEST ESSEX STP,Urology,21,1497
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Cardiology,31,3290
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Cardiothoracic Surgery,4,244
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Dermatology,16,2127
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),"Ear, Nose & Throat (ENT)",78,5095
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Gastroenterology,22,1187
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),General Medicine,3,48
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),General Surgery,63,4698
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Geriatric Medicine,7,21
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Gynaecology,113,4322
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Neurology,15,1087
2020,Apr,QMF,EAST LONDON HEALTH & CARE PARTNERSHIP (STP),Neurosurgery,45,1303
